id,title,price,currency,condition,date_created,permalink,thumbnail,city,state,seller_id,seller_name,is_car_dealer,year,km,brand,model,version,fuel,transmission,color,doors,engine
MLU1336025848,Fiat Strada 1.3 Volcano,17000,USD,used,2026-04-24T13:58:43.883Z,https://auto.mercadolibre.com.uy/MLU-1336025848-fiat-strada-13-volcano-_JM,http://http2.mlstatic.com/D_832121-MLU110839249305_042026-I.jpg,Santa Lucía,Canelones,3292542819,N20260325185648,False,2023,100000 km,Fiat,Strada,,Nafta,Manual,Gris,3,1300 cc
MLU1336029422,"Dongfeng Vigo 0.0 E2+ (51,87 Kwh)",28990,USD,used,2026-04-24T19:52:33.342Z,https://auto.mercadolibre.com.uy/MLU-1336029422-dongfeng-vigo-00-e2-5187-kwh-_JM,http://http2.mlstatic.com/D_812208-MLU110851317455_042026-I.jpg,Montevideo,Montevideo,45127547,ENRIQUE_CIOMPI_AUTOMOVILES,True,2026,1 km,Dongfeng,Vigo,,Eléctrico,Automática,Verde,5,0 cc
MLU1336028378,Nissan Versa 1.6 2013 Fullcars,10390,USD,used,2026-04-24T18:23:20.709Z,https://auto.mercadolibre.com.uy/MLU-1336028378-nissan-versa-16-2013-fullcars-_JM,http://http2.mlstatic.com/D_884174-MLU110850451627_042026-I.jpg,Colón,Montevideo,709071681,FULLCARS AUTOMOVILES,True,2013,221000 km,Nissan,Versa,,Nafta,Manual,Marrón,5,1600 cc
MLU1336064696,Volkswagen Taos 1.4 Tsi 250 At Highline,34000,USD,used,2026-04-24T13:29:59.027Z,https://auto.mercadolibre.com.uy/MLU-1336064696-volkswagen-taos-14-tsi-250-at-highline-_JM,http://http2.mlstatic.com/D_939768-MLU110839271505_042026-I.jpg,Pocitos,Montevideo,5072157,EPROMCOMPUTACIÓN,False,2023,30000 km,Volkswagen,Taos,,Nafta,Automática,Blanco,5,1400 cc
MLU1336040568,Fiat Uno 1.3 Fire Way,5000,USD,used,2026-04-24T16:48:23.588Z,https://auto.mercadolibre.com.uy/MLU-1336040568-fiat-uno-13-fire-way-_JM,http://http2.mlstatic.com/D_720272-MLU109728433618_042026-I.jpg,Bolivar,Montevideo,176375511,DANIELSETARO,False,2008,196000 km,Fiat,Uno,,Nafta,Manual,Verde,5,1300 cc
MLU1336068648,Chevrolet Onix Plus Premier 1.0 2022 Fullcars,16490,USD,used,2026-04-24T19:57:44.322Z,https://auto.mercadolibre.com.uy/MLU-1336068648-chevrolet-onix-plus-premier-10-2022-fullcars-_JM,http://http2.mlstatic.com/D_726929-MLU109949080042_042026-I.jpg,Colón,Montevideo,709071681,FULLCARS AUTOMOVILES,True,2022,78000 km,Chevrolet,Onix,,Nafta,Automática,Blanco,5,1000 cc
MLU1336029140,Puegeot 2008 1.2 Allure,21900,USD,used,2026-04-24T19:31:26.105Z,https://auto.mercadolibre.com.uy/MLU-1336029140-puegeot-2008-12-allure-_JM,http://http2.mlstatic.com/D_977188-MLU110852157039_042026-I.jpg,Manga,Montevideo,311304903,TOPCARUY,True,2022,120000 km,Peugeot,2008,,Nafta,Automática,Blanco,5,
MLU1336105020,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline At,37900,USD,used,2026-04-24T15:49:45.541Z,https://auto.mercadolibre.com.uy/MLU-1336105020-volkswagen-amarok-20-cd-tdi-180cv-4x4-highline-at-_JM,http://http2.mlstatic.com/D_687360-MLU109938523910_042026-I.jpg,Aguada,Montevideo,65781826,AUTORUIZ,True,2021,174000 km,Volkswagen,Amarok,,Diésel,Automática,Plateado,4,2000 cc
MLU1336040546,Dfsk Box 1.0 Reefer,7500,USD,used,2026-04-24T16:43:02.8Z,https://auto.mercadolibre.com.uy/MLU-1336040546-dfsk-box-10-reefer-_JM,http://http2.mlstatic.com/D_692845-MLU110845545865_042026-I.jpg,Ciudad de la Costa,Canelones,166359114,GRUPOALER2014,True,2016,90000 km,DFSK,Box,,Nafta,Manual,Blanco,2,
MLU1336025292,Mercedes Benz A35 Amg Sedan,69990,USD,used,2026-04-24T12:41:08.37Z,https://auto.mercadolibre.com.uy/MLU-1336025292-mercedes-benz-a35-amg-sedan-_JM,http://http2.mlstatic.com/D_939457-MLU110839287077_042026-I.jpg,Centro,Montevideo,610834577,TELIZAUTOMOVILES,True,2021,30000 km,Mercedes-Benz,Clase A,,Nafta,Automática secuencial,Blanco,5,
MLU1336028826,Volkswagen Gol 1.6 Trendline Sedán Garzón Automóviles,13990,USD,used,2026-04-24T19:06:14.348Z,https://auto.mercadolibre.com.uy/MLU-1336028826-volkswagen-gol-16-trendline-sedan-garzon-automoviles-_JM,http://http2.mlstatic.com/D_784727-MLU110850194213_042026-I.jpg,Belvedere,Montevideo,746797491,GARZÓNAUTOMÓVILES,True,2020,67000 km,Volkswagen,Gol,,Nafta,Manual,Blanco,5,1600 cc
MLU1336041766,Volkswagen Fox Con Título Y Sin Deuda,7000,USD,used,2026-04-24T19:07:49.235Z,https://auto.mercadolibre.com.uy/MLU-1336041766-volkswagen-fox-con-titulo-y-sin-deuda-_JM,http://http2.mlstatic.com/D_632976-MLU109947466624_042026-I.jpg,Punta Carretas,Montevideo,45626939,NOVARCH DESIGNS,False,2004,139000 km,Volkswagen,Fox,,Nafta,Automática,Plateado,3,
MLU1336025982,"Chevrolet Corsa 1,4 Cc Full",7490,USD,used,2026-04-24T14:14:37.15Z,https://auto.mercadolibre.com.uy/MLU-1336025982-chevrolet-corsa-14-cc-full-_JM,http://http2.mlstatic.com/D_977829-MLU110837326513_042026-I.jpg,Shangrilá,Canelones,216349107,GOMOTORS2024,True,2011,150000 km,Chevrolet,Corsa,,Nafta,Manual,Dorado,5,
MLU1336042040,Chery Tiggo 4 1.5 Full Mt 1.5 2021 Muy Buen Estado!,13900,USD,used,2026-04-24T19:29:40.948Z,https://auto.mercadolibre.com.uy/MLU-1336042040-chery-tiggo-4-15-full-mt-15-2021-muy-buen-estado-_JM,http://http2.mlstatic.com/D_721955-MLU110852588895_042026-I.jpg,Paso de Carrasco,Canelones,153033098,VENDOAUTOSMARCELO,True,2021,92530 km,Chery,Tiggo 4,,Nafta,Manual,Blanco,4,1500 cc
MLU1336038046,Volkswagen Saveiro 1.6 Gp Ce 101cv Pack Electr.+seg.,9900,USD,used,2026-04-24T10:15:35.737Z,https://auto.mercadolibre.com.uy/MLU-1336038046-volkswagen-saveiro-16-gp-ce-101cv-pack-electrseg-_JM,http://http2.mlstatic.com/D_881900-MLU109930349526_042026-I.jpg,Sayago,Montevideo,1353602377,AA20240622112548,False,2013,150000 km,Volkswagen,Saveiro,,Nafta,Manual,Azul,2,1600 cc
MLU1336108666,Bmw X6 Xdrive 40i Paq M,159000,USD,used,2026-04-24T22:07:20.814Z,https://auto.mercadolibre.com.uy/MLU-1336108666-bmw-x6-xdrive-40i-paq-m-_JM,http://http2.mlstatic.com/D_932872-MLU109951163374_042026-I.jpg,Barra de Carrasco,Canelones,184161831,VOITURET AUTOMOVILES,True,2026,5000 km,BMW,X6,,Nafta,,Verde,5,
MLU1336043980,Nissan Tiida 1.8 Advance Sedan Mt,9500,USD,used,2026-04-24T22:51:59.509Z,https://auto.mercadolibre.com.uy/MLU-1336043980-nissan-tiida-18-advance-sedan-mt-_JM,http://http2.mlstatic.com/D_824847-MLU110854941159_042026-I.jpg,Carrasco,Montevideo,3351310825,FS20260421204022,False,2012,109000 km,Nissan,Tiida,,Nafta,Manual,Blanco,4,1800 cc
